ID spoje,Počáteční datum,Koncové datum,1,2,3,4,5,6,7,8
48860,13.3.2008 19:28:00,13.3.2008 6:00:00,0,600,18,12,1,1,0,
48861,13.3.2008 22:48:00,13.3.2008 6:02:00,0,600,17,12,1,2,0,
48862,13.3.2008 23:00:00,13.3.2008 22:49:00,0,600,17,12,1,2,0,
48863,13.3.2008 6:01:00,13.3.2008 6:01:00,0,600,18,12,1,3,0,
48864,13.3.2008 19:56:00,13.3.2008 6:02:00,0,600,18,12,1,3,0,
48865,13.3.2008 13:42:00,13.3.2008 6:24:00,0,600,11,12,1,4,0,
48866,13.3.2008 22:01:00,13.3.2008 6:36:00,0,600,11,12,1,4,0,
48867,13.3.2008 22:15:00,13.3.2008 10:32:00,0,600,11,12,1,4,0,
48868,13.3.2008 19:48:00,13.3.2008 6:06:00,0,600,11,20,1,5,0,
48869,13.3.2008 20:01:00,13.3.2008 19:50:00,0,600,11,20,1,5,0,
48870,13.3.2008 6:14:00,13.3.2008 6:14:00,0,600,18,12,1,6,0,
48871,13.3.2008 22:51:00,13.3.2008 6:15:00,0,600,18,12,1,6,0,
48872,13.3.2008 22:58:00,13.3.2008 6:00:00,0,600,18,12,1,7,0,
48873,13.3.2008 7:09:00,13.3.2008 6:56:00,0,600,17,12,1,8,0,
48874,13.3.2008 22:59:00,13.3.2008 7:12:00,0,600,17,12,1,8,0,
48875,13.3.2008 12:59:00,13.3.2008 6:52:00,0,600,11,12,1,9,0,
48876,13.3.2008 20:26:00,13.3.2008 7:04:00,0,600,11,12,1,9,0,
48877,13.3.2008 20:39:00,13.3.2008 9:36:00,0,600,11,12,1,9,0,
48878,13.3.2008 18:57:00,13.3.2008 6:00:00,0,600,18,12,1,10,0,
48879,13.3.2008 6:47:00,13.3.2008 6:47:00,0,600,18,12,1,11,0,
48880,13.3.2008 20:57:00,13.3.2008 6:48:00,0,600,18,12,1,11,0,
48881,13.3.2008 20:49:00,13.3.2008 6:16:00,0,600,18,12,1,12,0,
48882,13.3.2008 19:22:00,13.3.2008 6:00:00,0,600,11,20,1,13,0,
48883,13.3.2008 19:36:00,13.3.2008 19:25:00,0,600,11,20,1,13,0,
48884,13.3.2008 22:16:00,13.3.2008 6:01:00,0,600,17,12,1,14,0,
48885,13.3.2008 22:29:00,13.3.2008 22:17:00,0,600,17,12,1,14,0,
48886,13.3.2008 22:28:00,13.3.2008 6:00:00,0,600,17,12,1,15,0,
48887,13.3.2008 22:41:00,13.3.2008 9:31:00,0,600,17,12,1,15,0,
48888,13.3.2008 14:07:00,13.3.2008 13:53:00,0,600,17,12,1,15,0,
48889,13.3.2008 6:45:00,13.3.2008 6:43:00,0,600,17,11,2,1,0,
48890,13.3.2008 17:41:00,13.3.2008 6:46:00,0,600,17,11,2,1,0,
48891,13.3.2008 17:44:00,13.3.2008 17:42:00,0,600,17,11,2,1,0,
48892,13.3.2008 6:54:00,13.3.2008 6:52:00,0,600,17,11,2,2,0,
48893,13.3.2008 17:49:00,13.3.2008 6:55:00,0,600,17,11,2,2,0,
48894,13.3.2008 17:52:00,13.3.2008 17:50:00,0,600,17,11,2,2,0,
48895,13.3.2008 20:24:00,13.3.2008 6:00:00,0,600,17,11,2,3,0,
48896,13.3.2008 20:27:00,13.3.2008 20:25:00,0,600,17,11,2,3,0,
48897,13.3.2008 7:29:00,13.3.2008 7:26:00,0,600,17,11,2,4,0,
48898,13.3.2008 18:07:00,13.3.2008 7:30:00,0,600,17,11,2,4,0,
48899,13.3.2008 18:10:00,13.3.2008 18:08:00,0,600,17,11,2,4,0,
48900,13.3.2008 6:30:00,13.3.2008 6:28:00,0,600,17,22,2,5,0,
48901,13.3.2008 19:14:00,13.3.2008 6:31:00,0,600,17,22,2,5,0,
48902,13.3.2008 19:17:00,13.3.2008 19:15:00,0,600,17,22,2,5,0,
48903,13.3.2008 6:21:00,13.3.2008 6:19:00,0,600,17,11,2,6,0,
48904,13.3.2008 19:34:00,13.3.2008 6:22:00,0,600,17,11,2,6,0,
48905,13.3.2008 19:37:00,13.3.2008 19:35:00,0,600,17,11,2,6,0,
48906,13.3.2008 20:09:00,13.3.2008 6:00:00,0,600,17,11,2,7,0,
48907,13.3.2008 20:12:00,13.3.2008 20:10:00,0,600,17,11,2,7,0,
48908,13.3.2008 14:01:00,13.3.2008 6:36:00,0,600,17,11,2,8,0,
48909,13.3.2008 19:44:00,13.3.2008 6:39:00,0,600,17,11,2,8,0,
48910,13.3.2008 19:47:00,13.3.2008 8:38:00,0,600,17,11,2,8,0,
48911,13.3.2008 14:09:00,13.3.2008 6:09:00,0,600,17,11,2,9,0,
48912,13.3.2008 17:09:00,13.3.2008 6:12:00,0,600,17,11,2,9,0,
48913,13.3.2008 17:12:00,13.3.2008 9:10:00,0,600,17,11,2,9,0,
48914,13.3.2008 19:06:00,13.3.2008 6:00:00,0,600,11,15,3,1,0,
48915,13.3.2008 19:08:00,13.3.2008 8:41:00,0,600,11,15,3,1,0,
48916,13.3.2008 13:32:00,13.3.2008 13:32:00,0,600,11,15,3,1,0,
48917,13.3.2008 23:00:00,13.3.2008 6:10:00,0,600,14,12,3,2,0,
48918,13.3.2008 23:00:00,13.3.2008 6:00:00,0,600,11,15,3,3,0,
48919,13.3.2008 23:00:00,13.3.2008 6:33:00,0,600,14,12,3,4,0,
48920,13.3.2008 19:40:00,13.3.2008 6:14:00,0,600,11,15,3,5,0,
48921,13.3.2008 19:42:00,13.3.2008 19:42:00,0,600,11,15,3,5,0,
48922,13.3.2008 19:49:00,13.3.2008 6:29:00,0,600,11,15,3,6,0,
48923,13.3.2008 19:51:00,13.3.2008 9:28:00,0,600,11,15,3,6,0,
48924,13.3.2008 14:12:00,13.3.2008 14:12:00,0,600,11,15,3,6,0,
48925,13.3.2008 22:59:00,13.3.2008 6:00:00,0,600,14,12,3,7,0,
48926,13.3.2008 21:56:00,13.3.2008 6:01:00,0,600,14,12,3,8,0,
48927,13.3.2008 22:13:00,13.3.2008 21:59:00,0,600,14,12,3,8,0,
48928,13.3.2008 20:18:00,13.3.2008 6:48:00,0,600,11,20,3,9,0,
48929,13.3.2008 20:20:00,13.3.2008 20:20:00,0,600,11,20,3,9,0,
48930,13.3.2008 23:00:00,13.3.2008 6:00:00,0,600,14,12,3,10,0,
48931,13.3.2008 23:00:00,13.3.2008 6:05:00,0,600,11,15,3,11,0,
48932,13.3.2008 20:38:00,13.3.2008 7:01:00,0,600,11,15,3,12,0,
48933,13.3.2008 20:40:00,13.3.2008 10:13:00,0,600,11,15,3,12,0,
48934,13.3.2008 14:53:00,13.3.2008 14:53:00,0,600,11,15,3,12,0,
48935,13.3.2008 21:03:00,13.3.2008 6:00:00,0,600,11,15,3,13,0,
48936,13.3.2008 21:05:00,13.3.2008 21:05:00,0,600,11,15,3,13,0,
48937,13.3.2008 20:06:00,13.3.2008 6:00:00,0,600,14,12,3,14,0,
48938,13.3.2008 20:23:00,13.3.2008 9:30:00,0,600,14,12,3,14,0,
48939,13.3.2008 13:41:00,13.3.2008 13:25:00,0,600,14,12,3,14,0,
48940,13.3.2008 23:00:00,13.3.2008 6:01:00,0,600,11,15,3,15,0,
48941,13.3.2008 18:26:00,13.3.2008 6:00:00,0,600,11,15,3,16,0,
48942,13.3.2008 18:28:00,13.3.2008 18:28:00,0,600,11,15,3,16,0,
48943,13.3.2008 21:24:00,13.3.2008 6:00:00,0,600,11,20,3,17,0,
48944,13.3.2008 21:26:00,13.3.2008 21:26:00,0,600,11,20,3,17,0,
48945,13.3.2008 14:12:00,13.3.2008 6:16:00,0,600,14,12,3,18,0,
48946,13.3.2008 20:32:00,13.3.2008 6:33:00,0,600,14,12,3,18,0,
48947,13.3.2008 20:49:00,13.3.2008 10:10:00,0,600,14,12,3,18,0,
48948,13.3.2008 22:42:00,13.3.2008 6:01:00,0,600,11,15,3,19,0,
48949,13.3.2008 23:00:00,13.3.2008 6:01:00,0,600,11,15,3,20,0,
48950,13.3.2008 19:50:00,13.3.2008 6:00:00,0,600,14,12,4,1,0,
48951,13.3.2008 20:05:00,13.3.2008 19:53:00,0,600,14,12,4,1,0,
